key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255722,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUZ;BURFORD 32-29 HC,004-ALT,2026-06-24,,01,PERMITTED
255723,"JERA UPSTREAM AMERICA, LLC",SABINE,HA RA SUW;SOUTH MAN 36-1-12HC,006-ALT,2026-06-24,,01,PERMITTED
255724,"JERA UPSTREAM AMERICA, LLC",SABINE,HA RA SUW;SOUTH MAN 36-1-12HC,007-ALT,2026-06-24,,01,PERMITTED
255725,"APEX NATURAL GAS, LLC",DE SOTO,LA MIN 8&20-11-11HC,001,2026-06-25,,01,PERMITTED
255726,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,001,2026-06-25,,01,PERMITTED
255727,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,002-ALT,2026-06-25,,01,PERMITTED
255728,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,003-ALT,2026-06-25,,01,PERMITTED
255729,"APEX NATURAL GAS, LLC",DE SOTO,HA RA SUE;MOMENTUM 5-12-12HU,004-ALT,2026-06-25,,01,PERMITTED
255730,COTEAU ENERGY LLC,CALCASIEU,SLL&O,003,2026-06-25,,01,PERMITTED
255731,"MINERAL U OPERATING, LLC",ACADIA,J D SITTIG ET UX,001,2026-06-25,,01,PERMITTED
255735,"DENBURY ONSHORE, LLC",RICHLAND,DELHI HOLT BRYANT SU;DELHI UT,073-1,2026-06-25,,01,PERMITTED
255736,"DENBURY ONSHORE, LLC",RICHLAND,DELHI HOLT BRYANT SU;DELHI UT,045-1,2026-06-25,,01,PERMITTED
255737,"DENBURY ONSHORE, LLC",RICHLAND,DELHI HOLT BRYANT SU;DELHI UT,045-2,2026-06-25,,01,PERMITTED
976393,LOUISIANA GREEN FUELS LLC,CALDWELL,LOUISIANA GREEN FUELS,W-N1,2026-06-25,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976394,LOUISIANA GREEN FUELS LLC,CALDWELL,LOUISIANA GREEN FUELS,W-N2,2026-06-25,,02,APPROVAL TO CONSTRUCT INJECTION WELL
976395,LOUISIANA GREEN FUELS LLC,CALDWELL,LOUISIANA GREEN FUELS,W-S2,2026-06-25,,02,APPROVAL TO CONSTRUCT INJECTION WELL
255732,EXPAND OPERATING LLC,DE SOTO,HA RA SUH;MES 27&22&15-11-11HC,001-ALT,2026-06-29,,01,PERMITTED
255733,EXPAND OPERATING LLC,DE SOTO,HA RA SUH;MES 27&22&15-11-11HC,002-ALT,2026-06-29,,01,PERMITTED
255746,HILCORP ENERGY COMPANY,PLAQUEMINES,LW 21 RA SU;SL 212 A,014,2026-06-29,,01,PERMITTED
255734,ADAMAS ENERGY LLC,RED RIVER,WAERSTAD 1H,002,2026-06-30,,01,PERMITTED
255738,ADAMAS ENERGY LLC,BOSSIER,HA RA SU110;COWLEY 2-11 HC,001,2026-06-30,,01,PERMITTED
255739,ADAMAS ENERGY LLC,BOSSIER,HA RA SU110;COWLEY 2-11 HC,002-ALT,2026-06-30,,01,PERMITTED
255740,EXPAND OPERATING LLC,RED RIVER,HA RA SUVV;RUSH 11&14-11-9 H,001-ALT,2026-06-30,,01,PERMITTED
255741,EXPAND OPERATING LLC,RED RIVER,HA RA SUVV;RUSH 11&14&52-11-9H,001-ALT,2026-06-30,,01,PERMITTED
